name;county;province;lat;lon
Brzeźno Stare;Wągrowiecki;Wielkopolskie;52.8719874;17.2863038
Ludwikowo;Wągrowiecki;Wielkopolskie;52.83724;17.33767
Grylewo;Wągrowiecki;Wielkopolskie;52.8913267;17.2299612
Łukowo;Wągrowiecki;Wielkopolskie;52.8870614;17.3056196
Wiśniewko;Wągrowiecki;Wielkopolskie;52.8763889;17.3766667
Laskownica Wielka;Wągrowiecki;Wielkopolskie;52.90466;17.27145
Kiedrowo;Wągrowiecki;Wielkopolskie;52.8268521;17.3209073
Kołybiec;Wągrowiecki;Wielkopolskie;52.853621;17.3649791
Siedleczko;Wągrowiecki;Wielkopolskie;52.85608;17.33467
Niemczyn;Wągrowiecki;Wielkopolskie;52.84072;17.39863
Koninek;Wągrowiecki;Wielkopolskie;52.86889;17.32587
Rakowo;Wągrowiecki;Wielkopolskie;52.85205;17.38484
Wiśniewo;Wągrowiecki;Wielkopolskie;52.8796873;17.3647005
Kołybki;Wągrowiecki;Wielkopolskie;52.8616667;17.3875
Czeszewo;Wągrowiecki;Wielkopolskie;52.90848;17.37973
Gołaszewo;Wągrowiecki;Wielkopolskie;52.7389434;17.4107835
Wybranowo;Żniński;Kujawsko-Pomorskie;52.76524;17.42366
Flantrowo;Żniński;Kujawsko-Pomorskie;52.74242;17.48736
Brudzyń;Żniński;Kujawsko-Pomorskie;52.77725;17.46288
Puzdrowiec;Żniński;Kujawsko-Pomorskie;52.780359;17.4226844
Międzylesie;Wągrowiecki;Wielkopolskie;52.81312;17.46247
Kozielsko;Wągrowiecki;Wielkopolskie;52.82085;17.41679
Modrzewie;Wągrowiecki;Wielkopolskie;52.8134693;17.4332323
Gruntowice;Wągrowiecki;Wielkopolskie;52.7972;17.42717
Bielawy;Żniński;Kujawsko-Pomorskie;52.7419681;17.4972772
Janowiec-Wieś;Żniński;Kujawsko-Pomorskie;52.7556702;17.5047425
Posługowo;Żniński;Kujawsko-Pomorskie;52.7561536;17.5350284
Wełna;Żniński;Kujawsko-Pomorskie;52.7725253;17.5374457
Włoszanowo;Żniński;Kujawsko-Pomorskie;52.77302;17.49343
Dąbrowa;Wągrowiecki;Wielkopolskie;52.80673;17.49373
Zrazim;Żniński;Kujawsko-Pomorskie;52.7833;17.5121
Żużoły;Żniński;Kujawsko-Pomorskie;52.8030103;17.5222658
Żerniki;Żniński;Kujawsko-Pomorskie;52.78059;17.54259
Chrzanowo;Żniński;Kujawsko-Pomorskie;52.80999;17.53637
Parcele Świątkowskie;Żniński;Kujawsko-Pomorskie;52.7977331;17.5632565
Obiecanowo;Żniński;Kujawsko-Pomorskie;52.81709;17.53439
Świątkowo;Żniński;Kujawsko-Pomorskie;52.8163014;17.5735986
Starężyn;Wągrowiecki;Wielkopolskie;52.83984;17.47193
Starężynek;Wągrowiecki;Wielkopolskie;52.83737;17.4459
Smuszewo;Wągrowiecki;Wielkopolskie;52.8832358;17.4231292
Kopanina;Wągrowiecki;Wielkopolskie;52.8528901;17.4359783
Miąża;Wągrowiecki;Wielkopolskie;52.8237299;17.4589653
Mokronosy;Wągrowiecki;Wielkopolskie;52.87213;17.44766
Turza;Wągrowiecki;Wielkopolskie;52.86539;17.49002
Kujawki;Wągrowiecki;Wielkopolskie;52.90569;17.41299
Komasin;Wągrowiecki;Wielkopolskie;52.89011;17.47041
Podolin;Wągrowiecki;Wielkopolskie;52.9031012;17.4573352
Damasławek;Wągrowiecki;Wielkopolskie;52.8399267;17.4994707
Juncewo;Żniński;Kujawsko-Pomorskie;52.8340794;17.5279152
Piotrkowice;Wągrowiecki;Wielkopolskie;52.86595;17.51564
Sielec;Żniński;Kujawsko-Pomorskie;52.86145;17.55396
Paryż;Żniński;Kujawsko-Pomorskie;52.87449;17.53474
Aleksandrowo;Wągrowiecki;Wielkopolskie;52.9039632;17.4936304
Nadborowo;Żniński;Kujawsko-Pomorskie;52.8935024;17.5329562
Srebrna Góra;Wągrowiecki;Wielkopolskie;52.8910719;17.4994045
Grabowo;Wągrowiecki;Wielkopolskie;52.9611614;17.2413818
Laskownica Mała;Wągrowiecki;Wielkopolskie;52.9159843;17.2569133
Krzyżanki;Wągrowiecki;Wielkopolskie;52.9385128;17.2597769
Chawłodno;Wągrowiecki;Wielkopolskie;52.92878;17.29574
Tomczyce;Wągrowiecki;Wielkopolskie;52.95513;17.2663
Bogdanowo;Wągrowiecki;Wielkopolskie;52.9715646;17.3070726
Potulin;Wągrowiecki;Wielkopolskie;52.98637;17.28707
Morakówko;Wągrowiecki;Wielkopolskie;52.931429;17.3254936
Morakowo;Wągrowiecki;Wielkopolskie;52.9203804;17.3421928
Czerlin;Wągrowiecki;Wielkopolskie;52.942;17.36621
Rozpętek;Nakielski;Kujawsko-Pomorskie;52.9871364;17.3717122
Lęgniszewo;Wągrowiecki;Wielkopolskie;52.9424063;17.3999917
Oleszno;Wągrowiecki;Wielkopolskie;52.96045;17.33162
